Product Name,Category,Price,Original Price,Product Link,Image URLs,Sizes,Review||Reviewers
Nike Force 1 LV8 3,Baby and Toddler Shoe,Rp758000,Rp899000,https://www.nike.com/id/t/force-1-lv8-3-and-shoe-T7KBVn/CW0986-002,,,Review data not available
Jumpman Two Trey,Older Kids' Shoes,Rp1248000,Rp1469000,https://www.nike.com/id/t/jumpman-two-trey-older-shoes-fK1tRq/DQ8431-160,,,Review data not available
Air Jordan 5 Retro SE,Older Kids' Shoes,Rp2229000,-,https://www.nike.com/id/t/air-jordan-5-retro-se-older-shoes-bQKcl5/FN4233-600,,,Review data not available
Nike Tanjun EasyOn,Younger Kids' Shoes,Rp799000,-,https://www.nike.com/id/t/tanjun-easyon-younger-shoes-v17CKD/DX9042-100,,,Review data not available
Nike MD Valiant,Younger Kids' Shoe,Rp729000,-,https://www.nike.com/id/t/md-valiant-younger-shoe-kg2vfD/CN8559-111,,,Review data not available
Nike Revolution 6,Older Kids' Road Running Shoes,Rp799000,-,https://www.nike.com/id/t/revolution-6-older-road-running-shoes-RmdT3m/DD1096-608,,,Review data not available
Nike Dynamo GO SE,Younger Kids' Easy On/Off Shoes,Rp658000,Rp779000,https://www.nike.com/id/t/dynamo-go-se-younger-easy-on-off-shoes-w8MXRX/DX6672-800,,,Review data not available
Nike Omni Multi-Court,Older Kids' Indoor Court Shoes,Rp799000,-,https://www.nike.com/id/t/omni-multi-court-older-indoor-court-shoes-pK2fcM/DM9027-401,,,Review data not available
Nike Flex Runner 2 Lil,Baby/Toddler Shoes,Rp589000,-,https://www.nike.com/id/t/flex-runner-2-lil-shoes-kC63pC/FV6667-400,,,Review data not available
Nike Air Max 90 Toggle,Younger Kids' Shoes,Rp1129000,-,https://www.nike.com/id/t/air-max-90-toggle-younger-shoes-W2Tl2K/CV0064-109,,,Review data not available
Jordan 1 Mid Alt SE,Baby/Toddler Shoes,Rp558000,Rp799000,https://www.nike.com/id/t/jordan-1-mid-alt-se-shoes-R2SM7q/DZ4469-800,,,Review data not available
Air Jordan 6 Retro Low,Older Kids' Shoes,Rp1659000,-,https://www.nike.com/id/t/air-jordan-6-retro-low-older-shoes-znJNLw/768878-061,,,Review data not available
Jordan 12 x A Ma Maniére,Baby/Toddler Shoes,Rp758000,Rp899000,https://www.nike.com/id/t/jordan-12-a-ma-maniere-shoes-4HdDWJ/FB2687-001,,,Review data not available
Jordan 1 Low Alt,Baby & Toddler Shoes,Rp618000,Rp729000,https://www.nike.com/id/t/jordan-1-low-alt-shoes-RCQGFn/CI3436-065,,,Review data not available
Air Jordan Legacy 312 Low,Older Kids' Shoe,Rp1669000,-,https://www.nike.com/id/t/air-jordan-legacy-312-low-older-shoes-Cmwf0P/CD9054-160,,,Review data not available
Nike Sunray Adjust 6,Older Kids' Slides,Rp499000,-,https://www.nike.com/id/t/sunray-adjust-6-older-slides-Sp3ff8/DX5544-400,,,Review data not available
Nike E-Series 1.0,Baby/Toddler Shoes,Rp618000,Rp729000,https://www.nike.com/id/t/e-series-1-shoes-3Qkgtq/DV4252-500,,,Review data not available
Nike Run Flow,Older Kids' Running Shoes,Rp1099000,-,https://www.nike.com/id/t/run-flow-older-running-shoes-GVsqHT/DR0472-101,,,Review data not available
